MT;Status;Tag;Field_Name;Content_Options;KeyMTTag
360;O;35B;Identification of Financial Instrument;[ISIN1!e12!c]<crlf>[4*35x];360#35B
360;O;37G;Floor Rate;[N]12d;360#37G
360;O;37M;Fixed Rate;[N]12d;360#37M
360;O;37N;Details of Interest Rate;6*35x;360#37N
360;O;37R;Spread;[N]12d;360#37R
360;O;37V;Cap Rate;[N]12d;360#37V
360;M;38E;Designated Maturity;2n1!a;360#38E
360;O;38G;First Stub Period, Interpolation Period;2n1!a/2n1!a;360#38G
360;O;38H;Last Stub Period, Interpolation Period;2n1!a/2n1!a;360#38H
360;O;39M;Payment Clearing Centre;2!a;360#39M
360;O;53A;Delivery Agent;A or D;360#53A
360;O;53D;Delivery Agent;A or D;360#53D
360;O;56A;Intermediary;A or D;360#56A
360;O;56D;Intermediary;A or D;360#56D
360;M;57A;Receiving Agent;A or D;360#57A
360;M;57D;Receiving Agent;A or D;360#57D
360;O;71F;Broker's Commission;3!a15d;360#71F
360;O;72;Sender to Receiver Information;6*35x;360#72
360;O;77A;Additional Reporting Information;20*35x;360#77A
360;O;77D;Additional Conditions;6*35x;360#77D
360;M;77H;Type, Date, Version of the Agreement;6a[/8!n][//4!n];360#77H
360;M;82A;Party A;A or D;360#82A
360;M;82D;Party A;A or D;360#82D
360;O;83A;Fund or Beneficiary Customer;A, D, or J;360#83A
360;O;83D;Fund or Beneficiary Customer;A, D, or J;360#83D
360;O;83J;Fund or Beneficiary Customer;A, D, or J;360#83J
360;O;86A;Second Intermediary;A or D;360#86A
360;O;86D;Second Intermediary;A or D;360#86D
360;M;87A;Party B;A or D;360#87A
360;M;87D;Party B;A or D;360#87D
360;O;88A;Broker Identification;A or D;360#88A
360;O;88D;Broker Identification;A or D;360#88D
360;O;91A;Reporting Party;A, D, or J;360#91A
360;O;91D;Reporting Party;A, D, or J;360#91D
360;O;91J;Reporting Party;A, D, or J;360#91J
360;O;94A;Scope of Operation;4!c;360#94A
360;O;96A;Clearing Exception Party;A, D, or J;360#96A
360;O;96D;Clearing Exception Party;A, D, or J;360#96D
360;O;96J;Clearing Exception Party;A, D, or J;360#96J
360;O;98D;Execution Timestamp;8!n6!n[,3n][/[N]2!n[2!n]];360#98D
361;O;14A;Business Day Convention;9a;361#14A
361;M;14C;Year of Definitions;4!n;361#14C
361;O;14D;Day Count Fraction;7x;361#14D
361;M;14F;Floating Rate Option;24x;361#14F
361;O;14G;Averaging Frequency and Method;1!a/8!a;361#14G
361;M;14J;Reset Date Specification;5a;361#14J
361;M;14S;Settlement Rate Option/Rate Source;3!a2n[/4!n/4!c];361#14S
361;M;15A;New Sequence;Empty field;361#15A
361;M;15B;New Sequence;Empty field;361#15B
361;M;15C;New Sequence;Empty field;361#15C
361;M;15D;New Sequence;Empty field;361#15D
361;M;15E;New Sequence;Empty field;361#15E
361;M;15F;New Sequence;Empty field;361#15F
361;M;15G;New Sequence;Empty field;361#15G
361;M;15H;New Sequence;Empty field;361#15H
361;M;15I;New Sequence;Empty field;361#15I
361;M;15J;New Sequence;Empty field;361#15J
361;M;15K;New Sequence;Empty field;361#15K
361;M;15L;New Sequence;Empty field;361#15L
361;M;15M;New Sequence;Empty field;361#15M
361;M;15N;New Sequence;Empty field;361#15N
361;M;15O;New Sequence;Empty field;361#15O
361;M;15P;New Sequence;Empty field;361#15P
361;O;17A;Collateral Agreement Indicator;1!a;361#17A
361;O;17E;Clearing Threshold Indicator;1!a;361#17E
361;O;17F;Period End Date Adjustment Indicator;1!a;361#17F
361;O;17H;Allocation Indicator;1!a;361#17H
361;O;17L;Portfolio Compression Indicator;1!a;361#17L
361;O;17M;Corporate Sector Indicator;1!a;361#17M
361;O;17P;Collateralisation Indicator;1!a;361#17P
361;O;17Q;Trade with Non-EEA Counterparty Indicator;1!a;361#17Q
361;O;17S;Intragroup Trade Indicator;1!a;361#17S
361;O;17W;Non Standard Flag;1!a;361#17W
361;O;17X;Commercial or Treasury Financing Indicator;1!a;361#17X
361;O;17Y;Financial Nature of the Counterparty Indicator;1!a;361#17Y
361;O;17Z;Collateral Portfolio Indicator;1!a;361#17Z
361;M;18A;Number of Repetitions;5n;361#18A
361;M;18D;Number of Observation Dates;3n;361#18D
361;M;20;Sender's Reference;16x;361#20
361;O;21;Related Reference;16x;361#21
361;O;21B;Contract Number Party B;16x;361#21B
361;O;21G;Broker's Reference;16x;361#21G
361;M;21N;Contract Number Party A;16x;361#21N
361;M;22A;Type of Operation;4!c;361#22A
361;M;22B;Financial Centre;4!c;361#22B
361;M;22C;Common Reference;4!a2!c4!n4!a2!c;361#22C
361;M;22D;Compounding Type;4!c;361#22D
361;M;22E;Type of Payment;4!c;361#22E
361;M;22L;Reporting Jurisdiction;35x;361#22L
361;M;22M;UTI Namespace/Issuer Code;30x;361#22M
361;M;22N;Transaction Identifier;32x;361#22N
361;M;22P;PUTI Namespace/Issuer Code;30x;361#22P
361;O;22Q;Collateral Portfolio Code;10x;361#22Q
361;M;22R;Prior Transaction Identifier;32x;361#22R
361;O;22S;Clearing Broker Identification;1!a/35x;361#22S
361;O;22T;Cleared Product Identification;35x;361#22T
361;O;22U;Underlying Product Identifier;6a;361#22U
361;O;22V;Execution Venue;35x;361#22V
361;M;22X;Type of Exchange;4!c;361#22X
361;M;23A;Identification of the Swap;10a/5a;361#23A
361;O;24D;Dealing Method;4!c[/35x];361#24D
361;O;29A;Contact Information;4*35x;361#29A
361;M;30F;Payment Date;8!n;361#30F
361;M;30G;Variable Notional Start and End Date;8!n/8!n;361#30G
361;M;30M;Valuation Date;8!n;361#30M
361;M;30P;Termination Date;8!n;361#30P
361;M;30S;Settlement Date;8!n;361#30S
361;M;30T;Trade Date;8!n;361#30T
361;M;30V;Effective Date;8!n;361#30V
361;M;30X;Compounding Date;8!n;361#30X
361;M;30Y;Initial Observation Date;8!n;361#30Y
361;M;30Z;Final Observation Date;8!n;361#30Z
361;O;32B;Party B Currency and Notional Amount;3!a15d;361#32B
361;M;32E;Settlement Currency;3!a;361#32E
361;O;32M;Currency, Payment Amount;3!a15d;361#32M
361;M;32Q;Currency Pair;3!a/3!a;361#32Q
361;M;32U;Outstanding Notional Currency and Amount;3!a15d;361#32U
361;M;33B;Party A Currency and Notional Amount;3!a15d;361#33B
361;M;33H;Vega Notional Amount;3!a15d;361#33H
361;O;34C;Commission and Fees;4!c/[N]3!a15d;361#34C
361;O;35B;Identification of Financial Instrument;[ISIN1!e12!c]<crlf>[4*35x];361#35B
361;O;37G;Floor Rate;[N]12d;361#37G
361;O;37M;Fixed Rate;[N]12d;361#37M
361;O;37N;Details of Interest Rate;6*35x;361#37N
361;O;37R;Spread;[N]12d;361#37R
361;O;37V;Cap Rate;[N]12d;361#37V
361;M;38E;Designated Maturity;2n1!a;361#38E
361;O;38G;First Stub Period, Interpolation Period;2n1!a/2n1!a;361#38G
361;O;38H;Last Stub Period, Interpolation Period;2n1!a/2n1!a;361#38H
361;O;39M;Payment Clearing Centre;2!a;361#39M
361;O;53A;Delivery Agent;A or D;361#53A
361;O;53D;Delivery Agent;A or D;361#53D
361;O;56A;Intermediary;A or D;361#56A
361;O;56D;Intermediary;A or D;361#56D
361;M;57A;Receiving Agent;A or D;361#57A
361;M;57D;Receiving Agent;A or D;361#57D
361;O;71F;Broker's Commission;3!a15d;361#71F
361;O;72;Sender to Receiver Information;6*35x;361#72
361;O;77A;Additional Reporting Information;20*35x;361#77A
361;O;77D;Additional Conditions;6*35x;361#77D
361;M;77H;Type, Date, Version of the Agreement;6a[/8!n][//4!n];361#77H
361;M;82A;Party A;A or D;361#82A
361;M;82D;Party A;A or D;361#82D
361;O;83A;Fund or Beneficiary Customer;A, D, or J;361#83A
361;O;83D;Fund or Beneficiary Customer;A, D, or J;361#83D
361;O;83J;Fund or Beneficiary Customer;A, D, or J;361#83J
361;M;84A;Calculation Agent;A, B, D, or J;361#84A
361;M;84B;Calculation Agent;A, B, D, or J;361#84B
361;M;84D;Calculation Agent;A, B, D, or J;361#84D
361;M;84J;Calculation Agent;A, B, D, or J;361#84J
361;O;86A;Second Intermediary;A or D;361#86A
361;O;86D;Second Intermediary;A or D;361#86D
361;M;87A;Party B;A or D;361#87A
361;M;87D;Party B;A or D;361#87D
361;O;88A;Broker Identification;A or D;361#88A
361;O;88D;Broker Identification;A or D;361#88D
361;O;91A;Reporting Party;A, D, or J;361#91A
361;O;91D;Reporting Party;A, D, or J;361#91D
361;O;91J;Reporting Party;A, D, or J;361#91J
361;O;94A;Scope of Operation;4!c;361#94A
361;O;96A;Clearing Exception Party;A, D, or J;361#96A
361;O;96D;Clearing Exception Party;A, D, or J;361#96D
361;O;96J;Clearing Exception Party;A, D, or J;361#96J
361;O;98D;Execution Timestamp;8!n6!n[,3n][/[N]2!n[2!n]];361#98D
362;M;15A;New Sequence;Empty field;362#15A
362;M;15B;New Sequence;Empty field;362#15B
362;M;15C;New Sequence;Empty field;362#15C
362;M;15D;New Sequence;Empty field;362#15D
362;M;15E;New Sequence;Empty field;362#15E
362;M;18A;Number of Repetitions;5n;362#18A
362;M;20;Sender's Reference;16x;362#20
362;O;21;Related Reference;16x;362#21
362;O;21B;Contract Number Party B;16x;362#21B
362;M;21N;Contract Number Party A;16x;362#21N
362;M;22A;Type of Operation;4!c;362#22A
362;M;22C;Common Reference;4!a2!c4!n4!a2!c;362#22C
362;M;23A;Identification of the Swap;10a/5a;362#23A
362;O;29A;Contact Information;4*35x;362#29A
362;M;30F;Payment Date;8!n;362#30F
362;M;30P;Termination Date;8!n;362#30P
362;O;30Q;Period End Date;8!n;362#30Q
362;M;30V;Effective Date;8!n;362#30V
362;M;30X;Period Start Date;8!n;362#30X
362;O;32H;Currency, Interest Amount;[N]3!a15d;362#32H
362;M;32M;Currency, Payment Amount;3!a15d;362#32M
362;O;33E;Currency, Principal Exchange Amount;3!a15d;362#33E
362;M;33F;Calculation Notional Currency and Amount;3!a15d;362#33F
362;M;37G;Reset Rate;[N]12d;362#37G
362;M;37M;Total Rate;[N]12d;362#37M
362;O;37N;Details of Interest Rate;6*35x;362#37N
362;M;37R;Spread;[N]12d;362#37R
362;O;37V;Cap Rate;[N]12d;362#37V
362;O;53A;Delivery Agent;A or D;362#53A
362;O;53D;Delivery Agent;A or D;362#53D
362;O;56A;Intermediary;A or D;362#56A
362;O;56D;Intermediary;A or D;362#56D
362;M;57A;Receiving Agent;A or D;362#57A
362;M;57D;Receiving Agent;A or D;362#57D
362;O;72;Sender to Receiver Information;6*35x;362#72
362;M;82A;Party A;A or D;362#82A
362;M;82D;Party A;A or D;362#82D
362;O;83A;Fund or Beneficiary Customer;A, D, or J;362#83A
362;O;83D;Fund or Beneficiary Customer;A, D, or J;362#83D
362;O;83J;Fund or Beneficiary Customer;A, D, or J;362#83J
362;O;86A;Second Intermediary;A or D;362#86A
362;O;86D;Second Intermediary;A or D;362#86D
362;M;87A;Party B;A or D;362#87A
362;M;87D;Party B;A or D;362#87D
362;O;94A;Scope of Operation;4!c;362#94A
364;M;15A;New Sequence;Empty field;364#15A
364;M;15B;New Sequence;Empty field;364#15B
364;M;15E;New Sequence;Empty field;364#15E
364;M;15L;New Sequence;Empty field;364#15L
364;M;15M;New Sequence;Empty field;364#15M
364;M;20;Sender's Reference;16x;364#20
364;O;21;Related Reference;16x;364#21
364;O;21B;Contract Number Party B;16x;364#21B
364;M;21N;Contract Number Party A;16x;364#21N
364;M;22A;Type of Operation;4!c;364#22A
364;M;22B;Type of Event;4!c;364#22B
364;M;22C;Common Reference;4!a2!c4!n4!a2!c;364#22C
364;O;22D;Accrual of Interest Specification;4!c;364#22D
364;M;23A;Identification of the Swap;10a/5a;364#23A
364;O;29A;Contact Information;4*35x;364#29A
364;M;30F;Payment Date;8!n;364#30F
364;M;30P;Original Termination Date;8!n;364#30P
364;M;30Q;Termination/Recouponing Effective Date;8!n;364#30Q
364;M;30T;Termination/Recouponing Trade Date;8!n;364#30T
364;M;30V;Original Effective Date;8!n;364#30V
364;M;32B;Current Currency, Notional Amount;3!a15d;364#32B
364;O;32G;New Currency, Notional Amount;3!a15d;364#32G
364;M;32M;Currency, Payment Amount;3!a15d;364#32M
364;O;37G;New Fixed Rate;[N]12d;364#37G
364;M;37M;Current Fixed Rate;[N]12d;364#37M
364;O;37N;Details of Interest Rate;6*35x;364#37N
364;O;53A;Delivery Agent;A or D;364#53A
364;O;53D;Delivery Agent;A or D;364#53D
364;O;56A;Intermediary;A or D;364#56A
364;O;56D;Intermediary;A or D;364#56D
364;M;57A;Receiving Agent;A or D;364#57A
364;M;57D;Receiving Agent;A or D;364#57D
364;O;72;Sender to Receiver Information;6*35x;364#72
364;M;82A;Party A;A or D;364#82A
364;M;82D;Party A;A or D;364#82D
364;O;83A;Fund or Beneficiary Customer;A, D, or J;364#83A
364;O;83D;Fund or Beneficiary Customer;A, D, or J;364#83D
364;O;83J;Fund or Beneficiary Customer;A, D, or J;364#83J
364;O;86A;Second Intermediary;A or D;364#86A
364;O;86D;Second Intermediary;A or D;364#86D
364;M;87A;Party B;A or D;364#87A
364;M;87D;Party B;A or D;364#87D
364;O;94A;Scope of Operation;4!c;364#94A
365;M;15A;New Sequence;Empty field;365#15A
365;M;15B;New Sequence;Empty field;365#15B
365;M;15E;New Sequence;Empty field;365#15E
365;M;15J;New Sequence;Empty field;365#15J
365;M;15K;New Sequence;Empty field;365#15K
365;M;15L;New Sequence;Empty field;365#15L
365;M;15M;New Sequence;Empty field;365#15M
365;M;20;Sender's Reference;16x;365#20
365;O;21;Related Reference;16x;365#21
365;O;21B;Contract Number Party B;16x;365#21B
365;M;21N;Contract Number Party A;16x;365#21N
365;M;22A;Type of Operation;4!c;365#22A
365;M;22B;Type of Event;4!c;365#22B
365;M;22C;Common Reference;4!a2!c4!n4!a2!c;365#22C
365;O;22D;Accrual of Interest Specification;4!c;365#22D
365;M;23A;Identification of the Swap;10a/5a;365#23A
365;O;29A;Contact Information;4*35x;365#29A
365;M;30F;Payment Date;8!n;365#30F
365;M;30P;Original Termination Date;8!n;365#30P
365;M;30Q;Termination/Recouponing Effective Date;8!n;365#30Q
365;M;30T;Termination/Recouponing Trade Date;8!n;365#30T
365;M;30V;Original Effective Date;8!n;365#30V
365;M;32B;Party B Current Currency, Notional Amount;3!a15d;365#32B
365;O;32G;Party B New Currency, Notional Amount;3!a15d;365#32G
365;M;32M;Currency, Payment Amount;3!a15d;365#32M
365;M;33B;Party A Current Currency, Notional Amount;3!a15d;365#33B
365;O;33E;Party A New Currency, Notional Amount;3!a15d;365#33E
365;O;37G;New Fixed Rate;[N]12d;365#37G
365;M;37M;Current Fixed Rate;[N]12d;365#37M
365;O;37N;Details of Interest Rate;6*35x;365#37N
365;O;53A;Delivery Agent;A or D;365#53A
365;O;53D;Delivery Agent;A or D;365#53D
365;O;56A;Intermediary;A or D;365#56A
365;O;56D;Intermediary;A or D;365#56D
365;M;57A;Receiving Agent;A or D;365#57A
365;M;57D;Receiving Agent;A or D;365#57D
365;O;72;Sender to Receiver Information;6*35x;365#72
365;M;82A;Party A;A or D;365#82A
365;M;82D;Party A;A or D;365#82D
365;O;83A;Fund or Beneficiary Customer;A, D, or J;365#83A
365;O;83D;Fund or Beneficiary Customer;A, D, or J;365#83D
365;O;83J;Fund or Beneficiary Customer;A, D, or J;365#83J
365;O;86A;Second Intermediary;A or D;365#86A
365;O;86D;Second Intermediary;A or D;365#86D
365;M;87A;Party B;A or D;365#87A
365;M;87D;Party B;A or D;365#87D
365;O;94A;Scope of Operation;4!c;365#94A
370;M;16R;Start of Block;GENL;370#16R
370;M;16S;End of Block;LINK;370#16S
370;M;19A;Netting Amount;:4!c//[N]3!a15d;370#19A
370;M;20C;Sender's Message Reference;:4!c//16x;370#20C
370;O;22F;Type of Underlying Trades;:4!c/[8c]/4!c;370#22F
370;M;22H;Receive Pay Indicator;:4!c//4!c;370#22H
370;M;23G;Function of the Message;4!c[/4!c];370#23G
370;O;70E;Additional Text Narrative;:4!c//10*35x;370#70E
370;M;95A;Investor;P, Q, or R;370#95A
370;M;95P;Investor;P, Q, or R;370#95P
370;M;95Q;Investor;P, Q, or R;370#95Q
370;M;95R;Investor;P, Q, or R;370#95R
370;O;97A;Safekeeping Account;:4!c//35x;370#97A
370;O;98A;Preparation Date/Time;A, C, or E;370#98A
370;O;98C;Preparation Date/Time;A, C, or E;370#98C
370;O;98E;Preparation Date/Time;A, C, or E;370#98E
370;O;99A;Number of Trades;A or C;370#99A
370;O;99C;Number of Trades;A or C;370#99C
380;M;11A;Counter Currency;:4!c//3!a;380#11A
380;O;13A;Linked Message;A or B;380#13A
380;O;13B;Linked Message;A or B;380#13B
380;M;16R;Start of Block;GENL;380#16R
380;M;16S;End of Block;LINK;380#16S
380;M;19B;Ordered Amount;:4!c//3!a15d;380#19B
380;M;20C;(see qualifier description);:4!c//16x;380#20C
380;O;22F;Agreement Indicator;:4!c/[8c]/4!c;380#22F
380;O;22H;FX Order Transaction Type Indicator;:4!c//4!c;380#22H
380;M;23G;Function of the Message;4!c[/4!c];380#23G
380;M;24B;Transaction Reason Code;:4!c/[8c]/4!c;380#24B
380;O;35B;Identification of the Financial Instrument;[ISIN1!e12!c]<crlf>[4*35x];380#35B
380;O;36B;Quantity of Financial Instrument Settled;:4!c//4!c/15d;380#36B
380;O;70D;Transaction Reason Narrative;:4!c//6*35x;380#70D
380;O;70E;Transaction Details Narrative;:4!c//10*35x;380#70E
380;O;94C;Country;:4!c//2!a;380#94C
380;O;95A;Investor;P, Q, or R;380#95A
380;O;95P;Investor;P, Q, or R;380#95P
380;O;95Q;Investor;P, Q, or R;380#95Q
380;O;95R;Investor;P, Q, or R;380#95R
380;M;97A;Safekeeping Account;:4!c//35x;380#97A
380;M;98A;(see qualifier description);A or C;380#98A
380;M;98C;(see qualifier description);A or C;380#98C
381;O;13A;Linked Message;A or B;381#13A
381;O;13B;Linked Message;A or B;381#13B
381;M;16R;Start of Block;GENL;381#16R
381;M;16S;End of Block;LINK;381#16S
381;M;19B;(see qualifier description);:4!c//3!a15d;381#19B
381;M;20C;Sender's Message Reference;:4!c//16x;381#20C
381;O;22F;Agreement Indicator;:4!c/[8c]/4!c;381#22F
381;O;22H;FX Order Transaction Type Indicator;:4!c//4!c;381#22H
381;M;23G;Function of the Message;4!c[/4!c];381#23G
381;M;24B;Transaction Reason Code;:4!c/[8c]/4!c;381#24B
381;O;35B;Identification of the Financial Instrument;[ISIN1!e12!c]<crlf>[4*35x];381#35B
381;O;36B;Quantity of Financial Instrument Settled;:4!c//4!c/15d;381#36B
381;O;70D;Transaction Reason Narrative;:4!c//6*35x;381#70D
381;O;70E;Transaction Details Narrative;:4!c//10*35x;381#70E
381;M;92B;Exchange Rate;:4!c//3!a/3!a/15d;381#92B
381;O;94C;Country;:4!c//2!a;381#94C
381;O;95A;Investor;P, Q, or R;381#95A
381;O;95P;Investor;P, Q, or R;381#95P
381;O;95Q;Investor;P, Q, or R;381#95Q
381;O;95R;Investor;P, Q, or R;381#95R
381;M;97A;Safekeeping Account;:4!c//35x;381#97A
381;M;98A;(see qualifier description);A or C;381#98A
381;M;98C;(see qualifier description);A or C;381#98C
390;M;20;Transaction Reference Number;16x;390#20
390;M;21;Related Reference;16x;390#21
390;M;25;Account Identification;35x;390#25
390;M;32A;Value Date, Currency Code, Amount;C or D;390#32A
390;M;32C;Value Date, Currency Code, Amount;C or D;390#32C
390;M;32D;Value Date, Currency Code, Amount;C or D;390#32D
390;O;52A;Ordering Institution;A or D;390#52A
390;O;52D;Ordering Institution;A or D;390#52D
390;M;71B;Details of Charges;6*35x;390#71B
390;O;72;Sender to Receiver Information;6*35x;390#72
391;M;20;Transaction Reference Number;16x;391#20
391;M;21;Related Reference;16x;391#21
391;M;32B;Currency Code, Amount;3!a15d;391#32B
391;O;52A;Ordering Institution;A or D;391#52A
391;O;52D;Ordering Institution;A or D;391#52D
391;O;57A;Account With Institution;A, B, or D;391#57A
391;O;57B;Account With Institution;A, B, or D;391#57B
391;O;57D;Account With Institution;A, B, or D;391#57D
391;M;71B;Details of Charges;6*35x;391#71B
391;O;72;Sender to Receiver Information;6*35x;391#72
392;M;11S;MT and Date of the Original Message;3!n<crlf>6!n<crlf>[4!n6!n];392#11S
392;M;20;Transaction Reference Number;16x;392#20
392;M;21;Related Reference;16x;392#21
392;O;79;Narrative Description of the Original Message;35*50x;392#79
395;O;11A;MT and Date of the Original Message;R or S;395#11A
395;O;11R;MT and Date of the Original Message;R or S;395#11R
395;O;11S;MT and Date of the Original Message;R or S;395#11S
395;M;20;Transaction Reference Number;16x;395#20
395;M;21;Related Reference;16x;395#21
395;M;75;Queries;6*35x;395#75
395;O;77A;Narrative;20*35x;395#77A
395;O;79;Narrative Description of the Message to Which the Query Relates;35*50x;395#79
396;O;11A;MT and Date of the Original Message;R or S;396#11A
396;O;11R;MT and Date of the Original Message;R or S;396#11R
396;O;11S;MT and Date of the Original Message;R or S;396#11S
396;M;20;Transaction Reference Number;16x;396#20
396;M;21;Related Reference;16x;396#21
396;M;76;Answers;6*35x;396#76
396;O;77A;Narrative;20*35x;396#77A
396;O;79;Narrative Description of the Original Message to Which the Answer Relates;35*50x;396#79
398;M;12;Sub-Message Type;3!n;398#12
398;M;20;Transaction Reference Number;16x;398#20
398;M;77E;Proprietary Message;73z<crlf>[n*78z];398#77E
399;M;20;Transaction Reference Number;16x;399#20
399;O;21;Related Reference;16x;399#21
399;M;79;Narrative;35*50x;399#79
400;M;20;Sending Bank's TRN;16x;400#20
400;M;21;Related Reference;16x;400#21
400;M;32A;Amount Collected;A, B, or K;400#32A
400;M;32B;Amount Collected;A, B, or K;400#32B
400;M;32K;Amount Collected;A, B, or K;400#32K
400;M;33A;Proceeds Remitted;6!n3!a15d;400#33A
400;O;52A;Ordering Bank;A or D;400#52A
400;O;52D;Ordering Bank;A or D;400#52D
400;O;53A;Sender's Correspondent;A, B, or D;400#53A
400;O;53B;Sender's Correspondent;A, B, or D;400#53B
400;O;53D;Sender's Correspondent;A, B, or D;400#53D
400;O;54A;Receiver's Correspondent;A, B, or D;400#54A
400;O;54B;Receiver's Correspondent;A, B, or D;400#54B
400;O;54D;Receiver's Correspondent;A, B, or D;400#54D
400;O;57A;Account With Bank;A or D;400#57A
400;O;57D;Account With Bank;A or D;400#57D
400;O;58A;Beneficiary Bank;A, B, or D;400#58A
400;O;58B;Beneficiary Bank;A, B, or D;400#58B
400;O;58D;Beneficiary Bank;A, B, or D;400#58D
400;O;71B;Details of Charges;6*35x;400#71B
400;O;72;Sender to Receiver Information;6*35x;400#72
400;O;73;Details of Amounts Added;6*35x;400#73
410;M;20;Sending Bank's TRN;16x;410#20
410;M;21;Related Reference;16x;410#21
410;M;32A;Amount Acknowledged;A, B, or K;410#32A
410;M;32B;Amount Acknowledged;A, B, or K;410#32B
410;M;32K;Amount Acknowledged;A, B, or K;410#32K
410;O;72;Sender to Receiver Information;6*35x;410#72
412;M;20;Sending Bank's TRN;16x;412#20
412;M;21;Related Reference;16x;412#21
412;M;32A;Maturity Date, Currency Code, Amount Accepted;6!n3!a15d;412#32A
412;O;72;Sender to Receiver Information;6*35x;412#72
416;M;20;Sender's Reference;16x;416#20
416;M;21;Related Reference;16x;416#21
416;M;21A;Related Sequence Reference;16x;416#21A
416;O;21C;Principal's Reference;35x;416#21C
416;O;23E;Advice Type;4!c[/30x];416#23E
416;M;32A;Face Amount of Document(s);A, B, or K;416#32A
416;M;32B;Face Amount of Document(s);A, B, or K;416#32B
416;M;32K;Face Amount of Document(s);A, B, or K;416#32K
416;O;50D;Principal;[/1!a][/34x]<crlf>4*35x;416#50D
416;O;51A;Sending Institution;[/1!a][/34x]<crlf>4!a2!a2!c[3!c];416#51A
416;O;53A;Sender's Correspondent;A or B;416#53A
416;O;53B;Sender's Correspondent;A or B;416#53B
416;O;59;Drawee;[/34x]<crlf>4*35x;416#59
416;O;71F;Sender's Charges;3!a15d;416#71F
416;O;77A;Reason for Non-Payment/Non-Acceptance;20*35x;416#77A
420;M;20;Sending Bank's TRN;16x;420#20
420;M;21;Related Reference;16x;420#21
420;O;30;Date of Collection Instruction;6!n;420#30
420;M;32A;Amount Traced;A, B, or K;420#32A
420;M;32B;Amount Traced;A, B, or K;420#32B
420;M;32K;Amount Traced;A, B, or K;420#32K
420;O;59;Drawee;[/34x]<crlf>4*35x;420#59
420;O;72;Sender to Receiver Information;6*35x;420#72
422;M;20;Sending Bank's TRN;16x;422#20
422;M;21;Related Reference;16x;422#21
422;O;32A;Amount of Collection;A, B, or K;422#32A
422;O;32B;Amount of Collection;A, B, or K;422#32B
422;O;32K;Amount of Collection;A, B, or K;422#32K
422;O;72;Sender to Receiver Information;6*35x;422#72
422;O;75;Queries;6*35x;422#75
422;O;76;Answers;6*35x;422#76
430;M;20;Sending Bank's TRN;16x;430#20
430;M;21;Related Reference;16x;430#21
430;O;32A;Existing Maturity Date, Currency Code, Amount;A or K;430#32A
430;O;32K;Existing Maturity Date, Currency Code, Amount;A or K;430#32K
430;O;33A;Amended Maturity Date, Currency Code, Amount;A or K;430#33A
430;O;33K;Amended Maturity Date, Currency Code, Amount;A or K;430#33K
430;O;59;Drawee;[/34x]<crlf>4*35x;430#59
430;O;72;Sender to Receiver Information;6*35x;430#72
430;O;74;Amendments;6*35x;430#74
450;M;20;Transaction Reference Number;16x;450#20
450;M;21;Related Reference;16x;450#21
450;O;25;Account Identification;35x;450#25
450;M;30;Date of Cash Letter;6!n;450#30
450;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;450#32A
450;O;52A;Sender of Cash Letter;A, B, or D;450#52A
450;O;52B;Sender of Cash Letter;A, B, or D;450#52B
450;O;52D;Sender of Cash Letter;A, B, or D;450#52D
450;O;72;Sender to Receiver Information;6*35x;450#72
455;M;20;Transaction Reference Number;16x;455#20
455;M;21;Related Reference;16x;455#21
455;O;25;Account Identification;35x;455#25
455;M;30;Date of Cash Letter;6!n;455#30
455;M;32A;Value Date and Original Amount;6!n3!a15d;455#32A
455;M;33A;Value Date and Adjustment Amount;C or D;455#33A
455;M;33C;Value Date and Adjustment Amount;C or D;455#33C
455;M;33D;Value Date and Adjustment Amount;C or D;455#33D
455;O;52A;Sender of Cash Letter;A, B, or D;455#52A
455;O;52B;Sender of Cash Letter;A, B, or D;455#52B
455;O;52D;Sender of Cash Letter;A, B, or D;455#52D
455;M;77A;Reason for Adjustment;20*35x;455#77A
456;M;20;Transaction Reference Number;16x;456#20
456;M;21;Related Reference;16x;456#21
456;O;25;Account Identification;35x;456#25
456;M;32A;Date and Face Amount of Financial Document;A or B;456#32A
456;M;32B;Date and Face Amount of Financial Document;A or B;456#32B
456;M;33D;Total Amount Debited;6!n3!a15d;456#33D
456;O;52A;Sender of Cash Letter;A, B, or D;456#52A
456;O;52B;Sender of Cash Letter;A, B, or D;456#52B
456;O;52D;Sender of Cash Letter;A, B, or D;456#52D
456;O;71B;Fee;6*35x;456#71B
456;O;72;Sender to Receiver Information;6*35x;456#72
456;M;77A;Reason for Dishonour;20*35x;456#77A
456;M;77D;Details of Dishonoured Item;6*35x;456#77D
490;M;20;Transaction Reference Number;16x;490#20
490;M;21;Related Reference;16x;490#21
490;M;25;Account Identification;35x;490#25
490;M;32A;Value Date, Currency Code, Amount;C or D;490#32A
490;M;32C;Value Date, Currency Code, Amount;C or D;490#32C
490;M;32D;Value Date, Currency Code, Amount;C or D;490#32D
490;O;52A;Ordering Institution;A or D;490#52A
490;O;52D;Ordering Institution;A or D;490#52D
490;M;71B;Details of Charges;6*35x;490#71B
490;O;72;Sender to Receiver Information;6*35x;490#72
491;M;20;Transaction Reference Number;16x;491#20
491;M;21;Related Reference;16x;491#21
491;M;32B;Currency Code, Amount;3!a15d;491#32B
